user_score,publisher,rating,title,metascore,platform,genre,developer
8.1,Warner Bros. Interactive Entertainment,M,Middle-earth: Shadow of Mordor,84,PS4,"Fantasy,Action Adventure,Fantasy,Open-World",Monolith Productions
7.6,Humble Hearts,E10+,Dust: An Elysian Tail,79,PS4,"Role-Playing,Action RPG",Humble Hearts
6.0,Pasta Games,E,Pix the Cat,80,PS4,"Action,General,Arcade",Pasta Games
6.4,Focus Home Interactive,M,Styx: Master of Shadows,70,PS4,"Sci-Fi,Action Adventure,General",Cyanide
5.5,Activision,E10+,Skylanders Trap Team,78,PS4,"Action,Platformer,3D",Toys for Bob
8.2,Sega,M,Alien: Isolation,79,PS4,"Action Adventure,Sci-Fi,General,Survival",Creative Assembly
7.5,Bethesda Softworks,M,The Evil Within,75,PS4,"Horror,Action Adventure,Horror,Survival",Tango Gameworks
4.4,Forge Reply,E,In Space We Brawl,54,PS4,"Action,General",Forge Reply
6.2,SCEA,E,Driveclub,71,PS4,"GT / Street,Driving,Racing,Simulation,GT / Street,Automobile",Evolution Studios
6.9,2K Sports,E,NBA 2K15,83,PS4,"Sports,Traditional,Team,Basketball,Sim",Visual Concepts
7.4,Square Enix,M,Sleeping Dogs: Definitive Edition,77,PS4,"Action Adventure,Modern,Open-World",United Front Games
6.0,Zen Studios,E10+,ZEN Pinball 2: South Park: Super-Sweet Pinball,84,PS4,"Action,Miscellaneous,Parlor,Pinball",Zen Studios
7.3,Electronic Arts,E,Peggle 2,72,PS4,"Miscellaneous,Puzzle,Action,General",PopCap
7.7,Koei Tecmo Games,T,Samurai Warriors 4,76,PS4,"Action,Beat-'Em-Up,3D",Omega Force
4.4,LOOT Entertainment,E,Fluster Cluck,37,PS4,"Action,General",LOOT Entertainment
6.6,Activision,T,The Legend of Korra,54,PS4,"Action Adventure,General,Fantasy",PlatinumGames
7.9,Telltale Games,M,The Walking Dead: Season Two - A Telltale Games Series,81,PS4,"Action,Adventure,General,Point-and-Click",Telltale Games
6.0,Flippfly,E,Race the Sun,76,PS4,"Action,Racing,General,Arcade,Futuristic",Flippfly
